team1,team2,winner,margin,match_id,MatchDay
Super Kings,KKR,Super Kings,27 runs,T203817,15-10-21
Capitals,KKR,KKR,3 wickets,T206442,13-10-21
RCB,KKR,KKR,4 wickets,T208597,11-10-21
Capitals,Super Kings,Super Kings,4 wickets,T201819,10-10-21
Capitals,RCB,RCB,7 wickets,T205942,8-10-21
Mumbai,Sunrisers,Mumbai,42 runs,T201979,8-10-21
KKR,Royals,KKR,86 runs,T204179,7-10-21
Super Kings,Punjab Kings,Punjab Kings,6 wickets,T201866,7-10-21
Sunrisers,RCB,Sunrisers,4 runs,T209992,6-10-21
Royals,Mumbai,Mumbai,8 wickets,T205599,5-10-21
Super Kings,Capitals,Capitals,3 wickets,T207682,4-10-21
Sunrisers,KKR,KKR,6 wickets,T207430,3-10-21
RCB,Punjab Kings,RCB,6 runs,T207754,3-10-21
Super Kings,Royals,Royals,7 wickets,T205672,2-10-21
Mumbai,Capitals,Capitals,4 wickets,T209349,2-10-21
KKR,Punjab Kings,Punjab Kings,5 wickets,T201051,1-10-21
Sunrisers,Super Kings,Super Kings,6 wickets,T203061,30-9-21
Royals,RCB,RCB,7 wickets,T204742,29-9-21
Punjab Kings,Mumbai,Mumbai,6 wickets,T208262,28-9-21
Capitals,KKR,KKR,3 wickets,T206700,28-9-21
Royals,Sunrisers,Sunrisers,7 wickets,T206862,27-9-21
RCB,Mumbai,RCB,54 runs,T203043,26-9-21
KKR,Super Kings,Super Kings,2 wickets,T202406,26-9-21
Punjab Kings,Sunrisers,Punjab Kings,5 runs,T203188,25-9-21
Capitals,Royals,Capitals,33 runs,T202046,25-9-21
RCB,Super Kings,Super Kings,6 wickets,T207776,24-9-21
Mumbai,KKR,KKR,7 wickets,T202680,23-9-21
Sunrisers,Capitals,Capitals,8 wickets,T204364,22-9-21
Royals,Punjab Kings,Royals,2 runs,T207857,21-9-21
RCB,KKR,KKR,9 wickets,T204307,20-9-21
Super Kings,Mumbai,Super Kings,20 runs,T201256,19-9-21
Punjab Kings,Capitals,Capitals,7 wickets,T208407,2-5-21
Royals,Sunrisers,Royals,55 runs,T209103,2-5-21
Super Kings,Mumbai,Mumbai,4 wickets,T203694,1-5-21
Punjab Kings,RCB,Punjab Kings,34 runs,T208245,30-4-21
KKR,Capitals,Capitals,7 wickets,T201595,29-4-21
Royals,Mumbai,Mumbai,7 wickets,T209461,29-4-21
Sunrisers,Super Kings,Super Kings,7 wickets,T205094,28-4-21
RCB,Capitals,RCB,1 run,T208915,27-4-21
Punjab Kings,KKR,KKR,5 wickets,T209997,26-4-21
Super Kings,RCB,Super Kings,69 runs,T202915,25-4-21
KKR,Royals,Royals,6 wickets,T205585,24-4-21
Mumbai,Punjab Kings,Punjab Kings,9 wickets,T204808,23-4-21
Royals,RCB,RCB,10 wickets,T201545,22-4-21
Super Kings,KKR,Super Kings,18 runs,T202233,21-4-21
Punjab Kings,Sunrisers,Sunrisers,9 wickets,T204912,21-4-21
Mumbai,Capitals,Capitals,6 wickets,T207273,20-4-21
Super Kings,Royals,Super Kings,45 runs,T209089,19-4-21
Punjab Kings,Capitals,Capitals,6 wickets,T209593,18-4-21
RCB,KKR,RCB,38 runs,T202791,18-4-21
Mumbai,Sunrisers,Mumbai,13 runs,T201372,17-4-21
Punjab Kings,Super Kings,Super Kings,6 wickets,T205292,16-4-21
Capitals,Royals,Royals,3 wickets,T203570,15-4-21
RCB,Sunrisers,RCB,6 runs,T202204,14-4-21
Mumbai,KKR,Mumbai,10 runs,T209194,13-4-21
Punjab Kings,Royals,Punjab Kings,4 runs,T207896,12-4-21
KKR,Sunrisers,KKR,10 runs,T209178,11-4-21
Super Kings,Capitals,Capitals,7 wickets,T206363,10-4-21
Mumbai,RCB,RCB,2 wickets,T203784,9-4-21
Royals,Titans,Titans,7 wickets,T202715,29-5-22
RCB,Royals,Royals,7 wickets,T201109,27-5-22
RCB,Super Giants,RCB,14 runs,T207136,25-5-22
Royals,Titans,Titans,7 wickets,T203302,24-5-22
Sunrisers,Punjab Kings,Punjab Kings,5 wickets,T204029,22-5-22
Capitals,Mumbai,Mumbai,5 wickets,T205729,21-5-22
Super Kings,Royals,Royals,5 wickets,T203588,20-5-22
Titans,RCB,RCB,8 wickets,T201867,19-5-22
Super Giants,KKR,Super Giants,2 runs,T202863,18-5-22
Sunrisers,Mumbai,Sunrisers,3 runs,T206060,17-5-22
Capitals,Punjab Kings,Capitals,17 runs,T209295,16-5-22
Royals,Super Giants,Royals,24 runs,T204939,15-5-22
Super Kings,Titans,Titans,7 wickets,T204140,15-5-22
KKR,Sunrisers,KKR,54 runs,T209676,14-5-22
Punjab Kings,RCB,Punjab Kings,54 runs,T203332,13-5-22
Super Kings,Mumbai,Mumbai,5 wickets,T203878,12-5-22
Royals,Capitals,Capitals,8 wickets,T201826,11-5-22
Titans,Super Giants,Titans,62 runs,T207400,10-5-22
KKR,Mumbai,KKR,52 runs,T203087,9-5-22
Super Kings,Capitals,Super Kings,91 runs,T205352,8-5-22
RCB,Sunrisers,RCB,67 runs,T207464,8-5-22
Super Giants,KKR,Super Giants,75 runs,T204710,7-5-22
Punjab Kings,Royals,Royals,6 wickets,T201231,7-5-22
Mumbai,Titans,Mumbai,5 runs,T201720,6-5-22
Capitals,Sunrisers,Capitals,21 runs,T201248,5-5-22
RCB,Super Kings,RCB,13 runs,T207511,4-5-22
Titans,Punjab Kings,Punjab Kings,8 wickets,T209502,3-5-22
Royals,KKR,KKR,7 wickets,T201137,2-5-22
Super Kings,Sunrisers,Super Kings,13 runs,T206274,1-5-22
Super Giants,Capitals,Super Giants,6 runs,T208561,1-5-22
Royals,Mumbai,Mumbai,5 wickets,T204259,30-4-22
RCB,Titans,Titans,6 wickets,T208841,30-4-22
Super Giants,Punjab Kings,Super Giants,20 runs,T207116,29-4-22
KKR,Capitals,Capitals,4 wickets,T209582,28-4-22
Sunrisers,Titans,Titans,5 wickets,T209115,27-4-22
Royals,RCB,Royals,29 runs,T205212,26-4-22
Punjab Kings,Super Kings,Punjab Kings,11 runs,T207611,25-4-22
Super Giants,Mumbai,Super Giants,36 runs,T208801,24-4-22
RCB,Sunrisers,Sunrisers,9 wickets,T208774,23-4-22
Titans,KKR,Titans,8 runs,T208514,23-4-22
Royals,Capitals,Royals,15 runs,T206421,22-4-22
Mumbai,Super Kings,Super Kings,3 wickets,T202326,21-4-22
Punjab Kings,Capitals,Capitals,9 wickets,T203741,20-4-22
RCB,Super Giants,RCB,18 runs,T204535,19-4-22
Royals,KKR,Royals,7 runs,T206892,18-4-22
Super Kings,Titans,Titans,3 wickets,T206030,17-4-22
Punjab Kings,Sunrisers,Sunrisers,7 wickets,T208958,17-4-22
RCB,Capitals,RCB,16 runs,T205793,16-4-22
Super Giants,Mumbai,Super Giants,18 runs,T204555,16-4-22
KKR,Sunrisers,Sunrisers,7 wickets,T208105,15-4-22
Titans,Royals,Titans,37 runs,T207043,14-4-22
Punjab Kings,Mumbai,Punjab Kings,12 runs,T208002,13-4-22
Super Kings,RCB,Super Kings,23 runs,T203601,12-4-22
Titans,Sunrisers,Sunrisers,8 wickets,T208211,11-4-22
Royals,Super Giants,Royals,3 runs,T207999,10-4-22
Capitals,KKR,Capitals,44 runs,T208705,10-4-22
Mumbai,RCB,RCB,7 wickets,T204746,9-4-22
Super Kings,Sunrisers,Sunrisers,8 wickets,T209199,9-4-22
Punjab Kings,Titans,Titans,6 wickets,T202634,8-4-22
Capitals,Super Giants,Super Giants,6 wickets,T204296,7-4-22
Mumbai,KKR,KKR,5 wickets,T207856,6-4-22
Royals,RCB,RCB,4 wickets,T203456,5-4-22
Super Giants,Sunrisers,Super Giants,12 runs,T204825,4-4-22
Punjab Kings,Super Kings,Punjab Kings,54 runs,T206118,3-4-22
Titans,Capitals,Titans,14 runs,T205181,2-4-22
Royals,Mumbai,Royals,23 runs,T209847,2-4-22
Punjab Kings,KKR,KKR,6 wickets,T203227,1-4-22
Super Kings,Super Giants,Super Giants,6 wickets,T207058,31-3-22
KKR,RCB,RCB,3 wickets,T203578,30-3-22
Royals,Sunrisers,Royals,61 runs,T205314,29-3-22
Super Giants,Titans,Titans,5 wickets,T202349,28-3-22
RCB,Punjab Kings,Punjab Kings,5 wickets,T208141,27-3-22
Mumbai,Capitals,Capitals,4 wickets,T205838,27-3-22
Super Kings,KKR,KKR,6 wickets,T201512,26-3-22
Titans,Super Kings,Super Kings,5 wickets,T208201,#VALUE!
Titans,Mumbai,Titans,62 runs,T203496,26-5-23
Mumbai,Super Giants,Mumbai,81 runs,T203571,24-5-23
Super Kings,Titans,Super Kings,15 runs,T206084,23-5-23
RCB,Titans,Titans,6 wickets,T201605,21-5-23
Sunrisers,Mumbai,Mumbai,8 wickets,T206817,21-5-23
Super Giants,KKR,Super Giants,1 run,T203370,20-5-23
Super Kings,Capitals,Super Kings,77 runs,T206925,20-5-23
Punjab Kings,Royals,Royals,4 wickets,T205037,19-5-23
Sunrisers,RCB,RCB,8 wickets,T202467,18-5-23
Capitals,Punjab Kings,Capitals,15 runs,T201082,17-5-23
Super Giants,Mumbai,Super Giants,5 runs,T208249,16-5-23
Titans,Sunrisers,Titans,34 runs,T208692,15-5-23
Super Kings,KKR,KKR,6 wickets,T206211,14-5-23
RCB,Royals,RCB,112 runs,T204453,14-5-23
Punjab Kings,Capitals,Punjab Kings,31 runs,T208032,13-5-23
Sunrisers,Super Giants,Super Giants,7 wickets,T204737,13-5-23
Mumbai,Titans,Mumbai,27 runs,T203656,12-5-23
KKR,Royals,Royals,9 wickets,T205338,11-5-23
Super Kings,Capitals,Super Kings,27 runs,T209224,10-5-23
RCB,Mumbai,Mumbai,6 wickets,T205430,9-5-23
Punjab Kings,KKR,KKR,5 wickets,T201181,8-5-23
Royals,Sunrisers,Sunrisers,4 wickets,T201576,7-5-23
Titans,Super Giants,Titans,56 runs,T201503,7-5-23
RCB,Capitals,Capitals,7 wickets,T208517,6-5-23
Mumbai,Super Kings,Super Kings,6 wickets,T204004,6-5-23
Royals,Titans,Titans,9 wickets,T206195,5-5-23
KKR,Sunrisers,KKR,5 runs,T208611,4-5-23
Punjab Kings,Mumbai,Mumbai,6 wickets,T205138,3-5-23
Capitals,Titans,Capitals,5 runs,T203464,2-5-23
RCB,Super Giants,RCB,18 runs,T203494,1-5-23
Royals,Mumbai,Mumbai,6 wickets,T204100,30-4-23
Super Kings,Punjab Kings,Punjab Kings,4 wickets,T204443,30-4-23
Sunrisers,Capitals,Sunrisers,9 runs,T207344,29-4-23
KKR,Titans,Titans,7 wickets,T201505,29-4-23
Super Giants,Punjab Kings,Super Giants,56 runs,T204958,28-4-23
Royals,Super Kings,Royals,32 runs,T204283,27-4-23
KKR,RCB,KKR,21 runs,T202291,26-4-23
Titans,Mumbai,Titans,55 runs,T208781,25-4-23
Capitals,Sunrisers,Capitals,7 runs,T206316,24-4-23
Super Kings,KKR,Super Kings,49 runs,T207135,23-4-23
RCB,Royals,RCB,7 runs,T205220,23-4-23
Punjab Kings,Mumbai,Punjab Kings,13 runs,T204462,22-4-23
Titans,Super Giants,Titans,7 runs,T208595,22-4-23
Sunrisers,Super Kings,Super Kings,7 wickets,T208568,21-4-23
KKR,Capitals,Capitals,4 wickets,T206506,20-4-23
RCB,Punjab Kings,RCB,24 runs,T209410,20-4-23
Super Giants,Royals,Super Giants,10 runs,T205539,19-4-23
Mumbai,Sunrisers,Mumbai,14 runs,T203831,18-4-23
Super Kings,RCB,Super Kings,8 runs,T206232,17-4-23
Titans,Royals,Royals,3 wickets,T204210,16-4-23
KKR,Mumbai,Mumbai,5 wickets,T202897,16-4-23
Super Giants,Punjab Kings,Punjab Kings,2 wickets,T203424,15-4-23
RCB,Capitals,RCB,23 runs,T208157,15-4-23
Sunrisers,KKR,Sunrisers,23 runs,T209839,14-4-23
Punjab Kings,Titans,Titans,6 wickets,T206541,13-4-23
Royals,Super Kings,Royals,3 runs,T201215,12-4-23
Capitals,Mumbai,Mumbai,6 wickets,T207664,11-4-23
RCB,Super Giants,Super Giants,1 wicket,T202162,10-4-23
Punjab Kings,Sunrisers,Sunrisers,8 wickets,T206444,9-4-23
Titans,KKR,KKR,3 wickets,T208626,9-4-23
Mumbai,Super Kings,Super Kings,7 wickets,T206408,8-4-23
Royals,Capitals,Royals,57 runs,T207547,8-4-23
Sunrisers,Super Giants,Super Giants,5 wickets,T209590,7-4-23
KKR,RCB,KKR,81 runs,T207668,6-4-23
Punjab Kings,Royals,Punjab Kings,5 runs,T201031,5-4-23
Capitals,Titans,Titans,6 wickets,T205026,4-4-23
Super Kings,Super Giants,Super Kings,12 runs,T202790,3-4-23
Mumbai,RCB,RCB,8 wickets,T202485,2-4-23
Royals,Sunrisers,Royals,72 runs,T209117,2-4-23
Super Giants,Capitals,Super Giants,50 runs,T208512,1-4-23
Punjab Kings,KKR,Punjab Kings,7 runs,T202853,1-4-23
Super Kings,Titans,Titans,5 wickets,T201566,31-3-23
