name,team,battingStyle,bowlingStyle,playingRole
AaronFinch,KKR,Right hand Bat,Slow Left arm Orthodox,Top order Batter
ABdeVilliers,RCB,Right hand Bat,Right arm Medium,Wicketkeeper Batter
AbdulBasith,Royals,Right hand Bat,Right arm Offbreak,Allrounder
AbdulSamad,Sunrisers,Right hand Bat,Legbreak,Batter
AbhijeetTomar,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
AbhinavManohar,Titans,Right hand Bat,Legbreak Googly,Batting Allrounder
AbhishekSharma,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Allrounder
AbishekPorel,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
AdamMilne,Mumbai,Right hand Bat,Right arm Fast,Bowler
AdamZampa,Royals,Right hand Bat,Legbreak Googly,Bowler
AdilRashid,Punjab Kings,Right hand Bat,Legbreak,Bowler
AidenMarkram,Punjab Kings,Right hand Bat,Right arm Offbreak,Opening Batter
AjinkyaRahane,Capitals,Right hand Bat,Right arm Medium,Top order Batter
AkashDeep,RCB,Right hand Bat,Right arm Fast medium,Bowling Allrounder
AkashMadhwal,Mumbai,Right hand Bat,Right arm Medium fast,Bowler
AkashSingh,Royals,Right hand Bat,Left arm Medium fast,Bowler
AkealHosein,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
AlzarriJoseph,Titans,Right hand Bat,Right arm Fast,Bowler
AmanHakimKhan,KKR,Right hand Bat,Right arm Medium,Allrounder
AmbatiRayudu,Super Kings,Right hand Bat,Right arm Offbreak,Middle order Batter
AmitMishra,Capitals,Right hand Bat,Legbreak,Bowler
AndreRussell,KKR,Right hand Bat,Right arm Fast,Allrounder
AndrewTye,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
AnmolpreetSingh,Mumbai,Right hand Bat,Right arm Offbreak,Batter
AnrichNortje,Capitals,Right hand Bat,Right arm Fast,Bowler
AnujRawat,Royals,Left hand Bat,Not Available,Wicketkeeper Batter
AnukulRoy,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
ArjunTendulkar,Mumbai,Left hand Bat,Left arm Medium fast,Bowler
ArshadKhan,Mumbai,Left hand Bat,Left arm Medium,Bowler
ArshdeepSingh,Punjab Kings,Left hand Bat,Left arm Medium fast,Bowler
AtharvaTaide,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder
AveshKhan,Capitals,Right hand Bat,Right arm Fast medium,Bowler
AxarPatel,Capitals,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
AyushBadoni,Super Giants,Right hand Bat,Right arm Offbreak,Batter
BabaIndrajith,KKR,Right hand Bat,Legbreak Googly,Top order Batter
BasilThampi,Mumbai,Right hand Bat,Right arm Fast medium,Bowler
BenStokes,Royals,Left hand Bat,Right arm Fast medium,Allrounder
BhanukaRajapaksa,Punjab Kings,Left hand Bat,Right arm Medium,Top order Batter
BhuvneshwarKumar,Sunrisers,Right hand Bat,Right arm Medium,Bowler
CameronGreen,Mumbai,Right hand Bat,Right arm Fast medium,Batting Allrounder
ChetanSakariya,Royals,Left hand Bat,Left arm Medium fast,Bowler
ChrisGayle,Punjab Kings,Left hand Bat,Right arm Offbreak,Allrounder
ChrisJordan,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
ChrisLynn,Mumbai,Right hand Bat,Slow Left arm Orthodox,Batter
ChrisMorris,Royals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
ChrisWoakes,Capitals,Right hand Bat,Right arm Fast medium,Allrounder
DanChristian,RCB,Right hand Bat,Right arm Fast medium,Allrounder
DanielSams,RCB,Right hand Bat,Left arm Fast medium,Allrounder
DarshanNalkande,Titans,Right hand Bat,Right arm Fast medium,Bowler
DarylMitchell,Royals,Right hand Bat,Right arm Medium,Batting Allrounder
DasunShanaka,Titans,Right hand Bat,Right arm Medium,Allrounder
DavidMiller,Royals,Left hand Bat,Right arm Offbreak,Middle order Batter
DavidWarner,Sunrisers,Left hand Bat,Legbreak,Opening Batter
DavidWiese,KKR,Right hand Bat,Right arm Medium fast,Allrounder
DavidWilley,RCB,Left hand Bat,Left arm Fast medium,Bowling Allrounder
DawidMalan,Punjab Kings,Left hand Bat,Legbreak,Top order Batter
DeepakChahar,Super Kings,Right hand Bat,Right arm Medium,Bowler
DeepakHooda,Punjab Kings,Right hand Bat,Right arm Offbreak,Allrounder
DevduttPadikkal,RCB,Left hand Bat,Right arm Offbreak,Top order Batter
DevonConway,Super Kings,Left hand Bat,Right arm Medium,Wicketkeeper Batter
DewaldBrevis,Mumbai,Right hand Bat,Legbreak,Batting Allrounder
DhawalKulkarni,Mumbai,Right hand Bat,Right arm Medium,Bowler
DhruvJurel,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
DineshKarthik,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
DuanJansen,Mumbai,Right hand Bat,Left arm Fast,Bowler
DushmanthaChameera,Super Giants,Right hand Bat,Right arm Fast,Bowler
DwainePretorius,Super Kings,Right hand Bat,Right arm Medium fast,Bowling Allrounder
DwayneBravo,Super Kings,Right hand Bat,Right arm Medium,Allrounder
EoinMorgan,KKR,Left hand Bat,Right arm Medium,Middle order Batter
EvinLewis,Royals,Left hand Bat,Not Available,Opening Batter
FabianAllen,Punjab Kings,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
FafduPlessis,Super Kings,Right hand Bat,Legbreak,Middle order Batter
FazalhaqFarooqi,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
GeorgeGarton,RCB,Left hand Bat,Left arm Fast,Bowling Allrounder
GlennMaxwell,RCB,Right hand Bat,Right arm Offbreak,Batting Allrounder
GlennPhillips,Royals,Right hand Bat,Right arm Offbreak,Allrounder
GurnoorBrar,Punjab Kings,Left hand Bat,Right arm Fast,Bowler
HarbhajanSingh,KKR,Right hand Bat,Right arm Offbreak,Bowler
HardikPandya,Mumbai,Right hand Bat,Right arm Medium fast,Allrounder
HarpreetBrar,Punjab Kings,Left hand Bat,Slow Left arm Orthodox,Bowler
HarpreetSingh,Punjab Kings,Left hand Bat,Right arm Medium,Batter
HarryBrook,Sunrisers,Right hand Bat,Right arm Medium,Batter
HarshalPatel,RCB,Right hand Bat,Right arm Medium,Bowler
HarshitRana,KKR,Right hand Bat,Right arm Fast,Bowler
HeinrichKlaasen,Sunrisers,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
HimanshuSharma,RCB,Right hand Bat,Legbreak,Bowler
HrithikShokeen,Mumbai,Right hand Bat,Right arm Offbreak,Bowler
ImranTahir,Super Kings,Right hand Bat,Legbreak Googly,Bowler
IshanKishan,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
IshanPorel,Punjab Kings,Right hand Bat,Right arm Medium,Bowler
IshantSharma,Capitals,Right hand Bat,Right arm Fast medium,Bowler
JagadeeshaSuchith,Sunrisers,Left hand Bat,Slow Left arm Orthodox,Bowler
JalajSaxena,Punjab Kings,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Allrounder
JamesNeesham,Mumbai,Left hand Bat,Right arm Medium fast,Batting Allrounder
JasonBehrendorff,Mumbai,Right hand Bat,Left arm Fast medium,Bowler
JasonHolder,Sunrisers,Right hand Bat,Right arm Medium fast,Bowling Allrounder
JasonRoy,Sunrisers,Right hand Bat,Not Available,Opening Batter
JaspritBumrah,Mumbai,Right hand Bat,Right arm Fast,Bowler
JayantYadav,Mumbai,Right hand Bat,Right arm Offbreak,Bowler
JaydevUnadkat,Royals,Right hand Bat,Left arm Medium,Bowler
JhyeRichardson,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
JiteshSharma,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
JoeRoot,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter
JofraArcher,Mumbai,Right hand Bat,Right arm Fast,Bowler
JonnyBairstow,Sunrisers,Right hand Bat,Right arm Medium,Wicketkeeper Batter
JosButtler,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
JoshHazlewood,Super Kings,Left hand Bat,Right arm Fast medium,Bowler
JoshLittle,Titans,Right hand Bat,Left arm Fast medium,Bowler
KagisoRabada,Capitals,Left hand Bat,Right arm Fast,Bowler
KamleshNagarkoti,KKR,Right hand Bat,Right arm Fast,Bowler
KaneRichardson,RCB,Right hand Bat,Right arm Fast medium,Bowler
KaneWilliamson,Sunrisers,Right hand Bat,Right arm Offbreak,Top order Batter
KaranSharma,Super Giants,Right hand Bat,Right arm Offbreak,Allrounder
KarnSharma,RCB,Left hand Bat,Legbreak Googly,Bowler
KartikTyagi,Royals,Right hand Bat,Right arm Fast,Bowler
KarunNair,Royals,Right hand Bat,Right arm Offbreak,Top order Batter
KedarJadhav,Sunrisers,Right hand Bat,Right arm Offbreak,Batting Allrounder
KhaleelAhmed,Sunrisers,Right hand Bat,Left arm Fast medium,Bowler
KieronPollard,Mumbai,Right hand Bat,Right arm Medium,Batting Allrounder
KLRahul,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
KMAsif,Super Kings,Right hand Bat,Right arm Medium,Bowler
KrishnappaGowtham,Super Giants,Right hand Bat,Right arm Offbreak,Bowling Allrounder
KrunalPandya,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
KuldeepSen,Royals,Right hand Bat,Right arm Fast,Bowler
KuldeepYadav,Capitals,Left hand Bat,Left arm Wrist spin,Bowler
KuldipYadav,Royals,Left hand Bat,Left arm Fast medium,Bowler
KulwantKhejroliya,KKR,Left hand Bat,Left arm Medium fast,Bowler
KumarKartikeya,Mumbai,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin",Bowler
KyleJamieson,RCB,Right hand Bat,Right arm Fast medium,Bowler
KyleMayers,Super Giants,Left hand Bat,Right arm Medium,Batting Allrounder
LalitYadav,Capitals,Right hand Bat,Right arm Offbreak,Allrounder
LiamLivingstone,Royals,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder
LittonDas,KKR,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
LockieFerguson,KKR,Right hand Bat,Right arm Fast,Bowler
LukmanMeriwala,Capitals,Left hand Bat,Left arm Fast medium,Bowler
LungiNgidi,Super Kings,Right hand Bat,Right arm Fast medium,Bowler
MaheeshTheekshana,Super Kings,Right hand Bat,Right arm Offbreak,Bowler
MahipalLomror,Royals,Left hand Bat,Slow Left arm Orthodox,Allrounder
MananVohra,Royals,Right hand Bat,Right arm Medium,Opening Batter
MandeepSingh,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
ManishPandey,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
MarcoJansen,Mumbai,Right hand Bat,Left arm Medium fast,Bowling Allrounder
MarcusStoinis,Capitals,Right hand Bat,Right arm Medium,Batting Allrounder
MarkWood,Super Giants,Right hand Bat,Right arm Fast,Bowler
MatheeshaPathirana,Super Kings,Right hand Bat,Right arm Fast,Bowler
MatthewShort,Punjab Kings,Right hand Bat,Right arm Offbreak,Top order Batter
MatthewWade,Titans,Left hand Bat,Right arm Medium,Wicketkeeper Batter
MayankAgarwal,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
MayankDagar,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
MayankMarkande,Royals,Right hand Bat,Legbreak,Bowler
MichaelBracewell,RCB,Left hand Bat,Right arm Offbreak,Batting Allrounder
MitchellMarsh,Capitals,Right hand Bat,Right arm Medium,Allrounder
MitchellSantner,Super Kings,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder
MoeenAli,Super Kings,Left hand Bat,Right arm Offbreak,Batting Allrounder
MohammadNabi,Sunrisers,Right hand Bat,Right arm Offbreak,Allrounder
MohammedShami,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
MohammedSiraj,RCB,Right hand Bat,Right arm Fast,Bowler
MohitRathee,Punjab Kings,Right hand Bat,Legbreak,Allrounder
MohitSharma,Titans,Right hand Bat,Right arm Medium,Bowler
MohsinKhan,Super Giants,Left hand Bat,Left arm Medium fast,Bowler
MoisesHenriques,Punjab Kings,Right hand Bat,Right arm Fast medium,Allrounder
MSDhoni,Super Kings,Right hand Bat,Right arm Medium,Wicketkeeper Batter
MShahrukhKhan,Punjab Kings,Right hand Bat,Right arm Offbreak,Batter
MujeebUrRahman,Sunrisers,Right hand Bat,Right arm Offbreak,Bowler
MukeshChoudhary,Super Kings,Left hand Bat,Left arm Medium,Bowler
MukeshKumar,Capitals,Right hand Bat,Right arm Medium,Bowler
MuruganAshwin,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
MustafizurRahman,Royals,Left hand Bat,Left arm Fast medium,Bowler
NarayanJagadeesan,Super Kings,Right hand Bat,Not Available,Opening Batter
NathanCoulter-Nile,Mumbai,Right hand Bat,Right arm Fast,Bowling Allrounder
NathanEllis,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
NavdeepSaini,RCB,Right hand Bat,Right arm Fast,Bowler
Naveen-ul-Haq,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
NehalWadhera,Mumbai,Left hand Bat,Legbreak,Top order Batter
NicholasPooran,Punjab Kings,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
NitishKumarReddy,Sunrisers,Right hand Bat,Right arm Medium fast,Batting Allrounder
NitishRana,KKR,Left hand Bat,"Right arm Medium, Right arm Offbreak, Legbreak",Middle order Batter
NoorAhmad,Titans,Right hand Bat,Left arm Wrist spin,Bowler
ObedMcCoy,Royals,Left hand Bat,Left arm Fast medium,Bowler
OdeanSmith,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
PatCummins,KKR,Right hand Bat,Right arm Fast,Bowler
PhilSalt,Capitals,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
PiyushChawla,Mumbai,Left hand Bat,Legbreak,Bowling Allrounder
PrabhsimranSingh,Punjab Kings,Right hand Bat,Not Available,Wicketkeeper Batter
PradeepSangwan,Titans,Right hand Bat,Left arm Medium,Bowler
PrashantSolanki,Super Kings,Right hand Bat,Legbreak,Bowler
PrasidhKrishna,KKR,Right hand Bat,Right arm Fast medium,Bowler
PraveenDubey,Capitals,Right hand Bat,Legbreak Googly,Bowler
PrerakMankad,Punjab Kings,Right hand Bat,Right arm Medium,Allrounder
PrithviShaw,Capitals,Right hand Bat,Right arm Offbreak,Opening Batter
PriyamGarg,Sunrisers,Right hand Bat,Right arm Medium,Top order Batter
QuintondeKock,Mumbai,Left hand Bat,Not Available,Wicketkeeper Batter
RaghavGoyal,Mumbai,Left hand Bat,Left arm Wrist spin,Bowler
RahmanullahGurbaz,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
RahulChahar,Mumbai,Right hand Bat,Legbreak Googly,Bowler
RahulTewatia,Royals,Left hand Bat,Legbreak,Bowling Allrounder
RahulTripathi,KKR,Right hand Bat,Right arm Medium,Top order Batter
RajatPatidar,RCB,Right hand Bat,Right arm Offbreak,Top order Batter
RajBawa,Punjab Kings,Left hand Bat,Right arm Medium fast,Allrounder
RajvardhanHangargekar,Super Kings,Right hand Bat,Right arm Fast medium,Bowling Allrounder
RamandeepSingh,Mumbai,Right hand Bat,Right arm Medium,Middle order Batter
RashidKhan,Sunrisers,Right hand Bat,Legbreak Googly,Bowling Allrounder
RasikhSalam,KKR,Right hand Bat,Right arm Medium,Bowler
RassievanderDussen,Royals,Right hand Bat,Legbreak,Top order Batter
RaviBishnoi,Punjab Kings,Right hand Bat,Legbreak Googly,Bowler
RavichandranAshwin,Capitals,Right hand Bat,Right arm Offbreak,Bowling Allrounder
RavindraJadeja,Super Kings,Left hand Bat,Slow Left arm Orthodox,Allrounder
ReeceTopley,RCB,Right hand Bat,Left arm Fast medium,Bowler
RileeRossouw,Capitals,Left hand Bat,Right arm Offbreak,Top order Batter
RileyMeredith,Punjab Kings,Right hand Bat,Right arm Fast,Bowler
RinkuSingh,KKR,Left hand Bat,Right arm Offbreak,Middle order Batter
RipalPatel,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
RishabhPant,Capitals,Left hand Bat,Not Available,Wicketkeeper Batter
RishiDhawan,Punjab Kings,Right hand Bat,Right arm Medium fast,Allrounder
RiyanParag,Royals,Right hand Bat,Legbreak,Top order Batter
RobinUthappa,Super Kings,Right hand Bat,Right arm Medium,Batter
RohitSharma,Mumbai,Right hand Bat,Right arm Offbreak,Top order Batter
RomarioShepherd,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
RovmanPowell,Capitals,Right hand Bat,Right arm Medium fast,Middle order Batter
RuturajGaikwad,Super Kings,Right hand Bat,Right arm Offbreak,Batter
SachinBaby,RCB,Left hand Bat,Right arm Offbreak,Batter
SaiKishore,Titans,Left hand Bat,Slow Left arm Orthodox,Bowler
SaiSudharsan,Titans,Left hand Bat,Legbreak,Top order Batter
SamBillings,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
SamCurran,Super Kings,Left hand Bat,Left arm Medium fast,Allrounder
SandeepSharma,Sunrisers,Right hand Bat,Right arm Medium,Bowler
SandeepWarrier,KKR,Right hand Bat,Right arm Medium,Bowler
SanjayYadav,Mumbai,Left hand Bat,Slow Left arm Orthodox,Allrounder
SanjuSamson,Royals,Right hand Bat,Not Available,Wicketkeeper Batter
SanvirSingh,Sunrisers,Right hand Bat,Right arm Medium,Allrounder
SarfarazKhan,Punjab Kings,Right hand Bat,Legbreak,Middle order Batter
SaurabhTiwary,Mumbai,Left hand Bat,Not Available,Top order Batter
SeanAbbott,Sunrisers,Right hand Bat,Right arm Fast medium,Bowling Allrounder
ShahbazAhmed,RCB,Left hand Bat,Slow Left arm Orthodox,Allrounder
ShahbazNadeem,Sunrisers,Right hand Bat,Slow Left arm Orthodox,Bowler
ShakibAlHasan,KKR,Left hand Bat,Slow Left arm Orthodox,Allrounder
ShardulThakur,Super Kings,Right hand Bat,Right arm Medium,Bowler
ShashankSingh,Sunrisers,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batting Allrounder
SheldonJackson,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
SherfaneRutherford,RCB,Left hand Bat,Right arm Fast medium,Middle order Batter
ShikharDhawan,Capitals,Left hand Bat,Right arm Offbreak,Opening Batter
ShimronHetmyer,Capitals,Left hand Bat,Not Available,Top order Batter
ShivamDube,Royals,Left hand Bat,Right arm Medium,Allrounder
ShivamMavi,KKR,Right hand Bat,Right arm Fast medium,Bowler
ShreyasGopal,Royals,Right hand Bat,Legbreak,Allrounder
ShreyasIyer,Capitals,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter
ShubmanGill,KKR,Right hand Bat,Right arm Offbreak,Opening Batter
SiddarthKaul,Sunrisers,Right hand Bat,Right arm Medium,Bowler
SikandarRaza,Punjab Kings,Right hand Bat,Right arm Offbreak,Batting Allrounder
SimarjeetSingh,Super Kings,Right hand Bat,Right arm Medium fast,Bowler
SisandaMagala,Super Kings,Right hand Bat,Right arm Fast medium,Bowler
SrikarBharat,RCB,Right hand Bat,Not Available,Wicketkeeper Batter
StevenSmith,Capitals,Right hand Bat,Legbreak Googly,Top order Batter
SunilNarine,KKR,Left hand Bat,Right arm Offbreak,Bowling Allrounder
SureshRaina,Super Kings,Left hand Bat,Right arm Offbreak,Middle order Batter
SuryakumarYadav,Mumbai,Right hand Bat,"Right arm Medium, Right arm Offbreak",Batter
SuyashPrabhudessai,RCB,Right hand Bat,Right arm Medium,Batting Allrounder
SuyashSharma,KKR,Right hand Bat,Legbreak Googly,Bowler
SwapnilSingh,Super Giants,Right hand Bat,Slow Left arm Orthodox,Bowler
TabraizShamsi,Royals,Right hand Bat,Left arm Wrist spin,Bowler
TilakVarma,Mumbai,Left hand Bat,Right arm Offbreak,Batting Allrounder
TimDavid,RCB,Right hand Bat,Right arm Offbreak,Middle order Batter
TimSeifert,KKR,Right hand Bat,Not Available,Wicketkeeper Batter
TimSouthee,KKR,Right hand Bat,Right arm Medium fast,Bowler
TNatarajan,Sunrisers,Left hand Bat,Left arm Medium,Bowler
TomCurran,Capitals,Right hand Bat,Right arm Fast medium,Bowling Allrounder
TrentBoult,Mumbai,Right hand Bat,Left arm Fast medium,Bowler
TristanStubbs,Mumbai,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
TusharDeshpande,Super Kings,Left hand Bat,Right arm Medium,Bowler
TymalMills,Mumbai,Right hand Bat,Left arm Fast,Bowler
UmeshYadav,KKR,Right hand Bat,Right arm Fast,Bowler
UmranMalik,Sunrisers,Right hand Bat,Right arm Fast,Bowler
VaibhavArora,Punjab Kings,Right hand Bat,Right arm Fast medium,Bowler
VarunAaron,Titans,Right hand Bat,Right arm Fast,Bowler
VarunChakravarthy,KKR,Right hand Bat,Legbreak Googly,Bowler
VenkateshIyer,KKR,Left hand Bat,Right arm Medium,Allrounder
VijaykumarVyshak,RCB,Right hand Bat,Right arm Medium,Bowler
VijayShankar,Sunrisers,Right hand Bat,Right arm Medium,Allrounder
ViratKohli,RCB,Right hand Bat,Right arm Medium,Top order Batter
ViratSingh,Sunrisers,Left hand Bat,Legbreak Googly,Top order Batter
VishnuVinod,Mumbai,Right hand Bat,Not Available,Wicketkeeper Batter
VivrantSharma,Sunrisers,Left hand Bat,Legbreak Googly,Allrounder
WaninduHasaranga,RCB,Right hand Bat,Legbreak,Allrounder
WashingtonSundar,RCB,Left hand Bat,Right arm Offbreak,Bowling Allrounder
WayneParnell,RCB,Left hand Bat,Left arm Medium fast,Bowler
WriddhimanSaha,Sunrisers,Right hand Bat,Not Available,Wicketkeeper Batter
YashasviJaiswal,Royals,Left hand Bat,Legbreak,Opening Batter
YashDayal,Titans,Right hand Bat,Left arm Medium fast,Bowler
YashDhull,Capitals,Right hand Bat,Right arm Offbreak,Top order Batter
YashThakur,Super Giants,Right hand Bat,Right arm Fast medium,Bowler
YudhvirSingh,Super Giants,Right hand Bat,Right arm Medium fast,Bowler
YuzvendraChahal,RCB,Right hand Bat,Legbreak Googly,Bowler
